date;water_level
2016-01-07 01:00:00;0.47
2016-01-08 01:00:00;0.44
2016-01-08 02:00:00;0.38
2016-01-09 02:00:00;0.44
2016-01-10 02:00:00;0.4
2016-01-10 03:00:00;0.4
2016-01-10 04:00:00;0.45
2016-01-10 05:00:00;0.47
2016-01-12 03:00:00;0.46
2016-01-12 04:00:00;0.22
2016-01-12 05:00:00;0.21
2016-01-12 06:00:00;0.38
2016-01-12 07:00:00;0.32
2016-01-14 03:00:00;0.43
2016-01-14 04:00:00;0.21
2016-01-14 05:00:00;0.22
2016-01-14 06:00:00;0.18
2016-01-14 07:00:00;0.2
2016-01-14 08:00:00;0.23
2016-01-14 09:00:00;0.29
2016-01-21 01:00:00;0.43
2016-01-21 02:00:00;0.45
2016-02-05 01:00:00;0.44
2016-02-07 01:00:00;0.46
2016-02-07 02:00:00;0.4
2016-02-08 01:00:00;0.34
2016-02-08 02:00:00;0.2
2016-02-08 03:00:00;0.33
2016-02-08 04:00:00;0.35
2016-02-10 03:00:00;0.46
2016-02-10 04:00:00;0.43
2016-02-15 09:00:00;0.47
2016-02-15 10:00:00;0.43
2016-02-15 17:00:00;0.4
2016-02-15 18:00:00;0.22
2016-02-15 19:00:00;0.18
2016-02-15 20:00:00;0.14
2016-02-15 21:00:00;0.25
2016-02-15 22:00:00;0.33
2016-02-15 23:00:00;0.36
2016-02-16 21:00:00;0.41
2016-02-16 22:00:00;0.42
2016-02-16 23:00:00;0.44
2016-02-18 00:00:00;0.36
2016-02-18 01:00:00;0.47
2016-02-23 03:00:00;0.43
2016-02-24 03:00:00;0.43
2016-02-24 04:00:00;0.38
2016-02-24 05:00:00;0.43
2016-02-24 06:00:00;0.46
2016-02-24 16:00:00;0.45
2016-03-01 19:00:00;0.45
2016-03-01 20:00:00;0.44
2016-03-01 21:00:00;0.44
2016-03-03 20:00:00;0.38
2016-03-03 21:00:00;0.27
2016-03-03 22:00:00;0.24
2016-03-03 23:00:00;0.24
2016-03-04 00:00:00;0.17
2016-03-04 01:00:00;0.26
2016-03-04 02:00:00;0.43
2016-03-04 03:00:00;0.46
2016-03-08 00:00:00;0.46
2016-03-08 01:00:00;0.4
2016-03-08 02:00:00;0.46
2016-03-09 02:00:00;0.47
2016-03-12 16:00:00;0.47
2016-03-12 17:00:00;0.39
2016-03-15 19:00:00;0.47
2016-03-22 13:00:00;0.46
2016-03-22 14:00:00;0.33
2016-03-22 15:00:00;0.28
2016-03-22 16:00:00;0.27
2016-03-22 17:00:00;0.31
2016-03-22 18:00:00;0.34
2016-03-23 01:00:00;0.33
2016-03-23 02:00:00;0.32
2016-03-23 03:00:00;0.27
2016-03-23 04:00:00;0.44
2016-03-23 05:00:00;0.4
2016-03-24 15:00:00;0.39
2016-03-24 16:00:00;0.41
2016-03-26 16:00:00;0.43
2016-03-27 16:00:00;0.36
2016-03-27 17:00:00;0.41
2016-03-27 18:00:00;0.34
2016-03-27 19:00:00;0.38
2016-04-04 01:00:00;0.42
2016-04-04 02:00:00;0.44
2016-04-04 09:00:00;0.36
2016-04-04 10:00:00;0.39
2016-04-04 11:00:00;0.46
2016-04-04 12:00:00;0.18
2016-04-04 13:00:00;0.35
2016-04-04 14:00:00;0.28
2016-04-04 15:00:00;0.43
2016-04-09 16:00:00;0.39
2016-04-10 15:00:00;0.46
2016-04-10 16:00:00;0.35
2016-04-10 17:00:00;0.44
2016-04-10 18:00:00;0.42
2016-04-10 19:00:00;0.44
2016-04-11 16:00:00;0.43
2016-04-11 17:00:00;0.3
2016-04-11 18:00:00;0.37
2016-04-11 19:00:00;0.36
2016-04-12 18:00:00;0.42
2016-04-12 19:00:00;0.34
2016-04-12 20:00:00;0.47
2016-04-13 19:00:00;0.41
2016-04-13 20:00:00;0.36
2016-04-13 21:00:00;0.41
2016-04-16 23:00:00;0.47
2016-04-17 00:00:00;0.46
2016-05-06 14:00:00;0.42
2016-05-06 15:00:00;0.4
2016-05-07 14:00:00;0.39
2016-05-07 15:00:00;0.36
2016-05-07 16:00:00;0.41
2016-05-07 17:00:00;0.47
2016-05-08 16:00:00;0.36
2016-05-09 15:00:00;0.44
2016-05-09 16:00:00;0.37
2016-05-09 17:00:00;0.39
2016-05-10 16:00:00;0.45
2016-05-10 17:00:00;0.34
2016-05-10 18:00:00;0.39
2016-05-10 19:00:00;0.37
2016-05-21 15:00:00;0.45
2016-05-22 15:00:00;0.47
2016-05-22 16:00:00;0.47
2016-05-23 15:00:00;0.45
2016-05-23 16:00:00;0.46
2016-05-24 16:00:00;0.45
2016-05-24 17:00:00;0.45
2016-05-26 18:00:00;0.43
2016-05-26 19:00:00;0.41
2016-05-27 18:00:00;0.39
2016-05-27 19:00:00;0.39
2016-06-02 12:00:00;0.44
2016-06-03 13:00:00;0.43
2016-06-03 14:00:00;0.45
2016-06-03 15:00:00;0.44
2016-06-04 13:00:00;0.39
2016-06-04 14:00:00;0.39
2016-06-04 15:00:00;0.43
2016-06-04 16:00:00;0.47
2016-06-05 13:00:00;0.46
2016-06-05 14:00:00;0.35
2016-06-05 15:00:00;0.28
2016-06-05 16:00:00;0.38
2016-06-05 17:00:00;0.41
2016-06-06 14:00:00;0.46
2016-06-06 15:00:00;0.38
2016-06-06 16:00:00;0.36
2016-06-06 17:00:00;0.46
2016-06-07 16:00:00;0.39
2016-06-07 17:00:00;0.44
2016-06-18 13:00:00;0.47
2016-06-18 14:00:00;0.44
2016-06-19 14:00:00;0.38
2016-06-19 15:00:00;0.41
2016-06-19 16:00:00;0.47
2016-06-20 14:00:00;0.38
2016-06-20 15:00:00;0.32
2016-06-20 16:00:00;0.35
2016-06-20 17:00:00;0.44
2016-06-22 17:00:00;0.45
2016-06-23 17:00:00;0.46
2016-06-24 17:00:00;0.44
2016-06-24 18:00:00;0.44
2016-06-24 19:00:00;0.47
2016-06-25 18:00:00;0.46
